CA                       CM                       CW                       CZ                       CX                       AoA [Deg]                Mach [-]                 Eta [Deg]                AoA size                 Mach size                Eta size                 
1.228000                 -0.312600                0.338000                 -1.269545                0.102386                 0.349067                 0.300000                 0.000000                 20                       8                        7                        
1.326000                 -0.394300                0.338000                 -1.356063                0.183341                 0.383973                 0.300000                 0.000000                 20                       8                        7                        
1.384000                 -0.462300                0.338000                 -1.401824                0.254147                 0.418880                 0.300000                 0.000000                 20                       8                        7                        
1.382000                 -0.487200                0.338000                 -1.390302                0.302038                 0.453787                 0.300000                 0.000000                 20                       8                        7                        
1.391000                 -0.476400                0.338000                 -1.386861                0.354600                 0.488693                 0.300000                 0.000000                 20                       8                        7                        
-0.733000                0.220400                 0.175000                 0.753367                 -0.018776                -0.209440                0.400000                 0.000000                 20                       8                        7                        
-0.456000                0.167100                 0.079000                 0.462557                 -0.014768                -0.139627                0.400000                 0.000000                 20                       8                        7                        
-0.188000                0.120900                 0.031000                 0.189704                 -0.017810                -0.069813                0.400000                 0.000000                 20                       8                        7                        
-0.060000                0.100400                 0.021000                 0.060696                 -0.018893                -0.034907                0.400000                 0.000000                 20                       8                        7                        
0.065000                 0.083600                 0.017000                 -0.065000                -0.017000                0.000000                 0.400000                 0.000000                 20                       8                        7                        
0.193000                 0.068600                 0.018000                 -0.193511                -0.011253                0.034907                 0.400000                 0.000000                 20                       8                        7                        
0.323000                 0.050500                 0.027000                 -0.324097                -0.004403                0.069813                 0.400000                 0.000000                 20                       8                        7                        
0.456000                 0.028500                 0.043000                 -0.457997                0.004901                 0.104720                 0.400000                 0.000000                 20                       8                        7                        
0.662000                 -0.016000                0.091000                 -0.668085                0.013680                 0.157080                 0.400000                 0.000000                 20                       8                        7                        
0.734000                 -0.035200                0.112000                 -0.742297                0.017160                 0.174533                 0.400000                 0.000000                 20                       8                        7                        
0.808000                 -0.057400                0.137000                 -0.819296                0.019691                 0.191987                 0.400000                 0.000000                 20                       8                        7                        
0.877000                 -0.079400                0.164000                 -0.891933                0.021923                 0.209440                 0.400000                 0.000000                 20                       8                        7                        
0.990000                 -0.126800                0.219000                 -1.013574                0.027008                 0.244347                 0.400000                 0.000000                 20                       8                        7                        
1.090000                 -0.183100                0.276000                 -1.123851                0.035137                 0.279253                 0.400000                 0.000000                 20                       8                        7                        
1.170000                 -0.245900                0.338000                 -1.217184                0.040094                 0.314160                 0.400000                 0.000000                 20                       8                        7                        
1.226000                 -0.315500                0.338000                 -1.267666                0.101702                 0.349067                 0.400000                 0.000000                 20                       8                        7                        
1.332000                 -0.398200                0.338000                 -1.361626                0.185589                 0.383973                 0.400000                 0.000000                 20                       8                        7                        
1.389000                 -0.464500                0.338000                 -1.406391                0.256180                 0.418880                 0.400000                 0.000000                 20                       8                        7                        
1.400000                 -0.490600                0.338000                 -1.406481                0.309929                 0.453787                 0.400000                 0.000000                 20                       8                        7                        
1.414000                 -0.478700                0.338000                 -1.407169                0.365398                 0.488693                 0.400000                 0.000000                 20                       8                        7                        
-0.741000                0.221500                 0.175000                 0.761192                 -0.017113                -0.209440                0.500000                 0.000000                 20                       8                        7                        
-0.462000                0.167700                 0.078000                 0.468359                 -0.012943                -0.139627                0.500000                 0.000000                 20                       8                        7                        
-0.191000                0.121500                 0.031000                 0.192697                 -0.017601                -0.069813                0.500000                 0.000000                 20                       8                        7                        
-0.061000                0.101000                 0.020000                 0.061661                 -0.017859                -0.034907                0.500000                 0.000000                 20                       8                        7                        
0.066000                 0.084300                 0.017000                 -0.066000                -0.017000                0.000000                 0.500000                 0.000000                 20                       8                        7                        
0.195000                 0.069400                 0.018000                 -0.195509                -0.011184                0.034907                 0.500000                 0.000000                 20                       8                        7                        
0.327000                 0.051100                 0.027000                 -0.328087                -0.004124                0.069813                 0.500000                 0.000000                 20                       8                        7                        
0.461000                 0.029000                 0.043000                 -0.462969                0.005423                 0.104720                 0.500000                 0.000000                 20                       8                        7                        
0.669000                 -0.015600                0.090000                 -0.674843                0.015763                 0.157080                 0.500000                 0.000000                 20                       8                        7                        
0.741000                 -0.034900                0.112000                 -0.749191                0.018375                 0.174533                 0.500000                 0.000000                 20                       8                        7                        
0.815000                 -0.057000                0.137000                 -0.826167                0.021027                 0.191987                 0.500000                 0.000000                 20                       8                        7                        
0.889000                 -0.080100                0.164000                 -0.903671                0.024418                 0.209440                 0.500000                 0.000000                 20                       8                        7                        
1.001000                 -0.127100                0.219000                 -1.024247                0.029670                 0.244347                 0.500000                 0.000000                 20                       8                        7                        
1.100000                 -0.185600                0.276000                 -1.133464                0.037894                 0.279253                 0.500000                 0.000000                 20                       8                        7                        
1.177000                 -0.249700                0.338000                 -1.223841                0.042257                 0.314160                 0.500000                 0.000000                 20                       8                        7                        
1.228000                 -0.320100                0.338000                 -1.269545                0.102386                 0.349067                 0.500000                 0.000000                 20                       8                        7                        
1.340000                 -0.404200                0.338000                 -1.369043                0.188586                 0.383973                 0.500000                 0.000000                 20                       8                        7                        
1.400000                 -0.470500                0.338000                 -1.416440                0.260654                 0.418880                 0.500000                 0.000000                 20                       8                        7                        
1.424000                 -0.497700                0.338000                 -1.428052                0.320450                 0.453787                 0.500000                 0.000000                 20                       8                        7                        
1.445000                 -0.485400                0.338000                 -1.434540                0.379952                 0.488693                 0.500000                 0.000000                 20                       8                        7                        
-0.750000                0.223200                 0.175000                 0.769995                 -0.015242                -0.209440                0.600000                 0.000000                 20                       8                        7                        
-0.468000                0.168500                 0.078000                 0.474301                 -0.012108                -0.139627                0.600000                 0.000000                 20                       8                        7                        
-0.195000                0.122100                 0.031000                 0.196687                 -0.017322                -0.069813                0.600000                 0.000000                 20                       8                        7                        
-0.062000                0.101700                 0.020000                 0.062660                 -0.017824                -0.034907                0.600000                 0.000000                 20                       8                        7                        
0.067000                 0.085200                 0.017000                 -0.067000                -0.017000                0.000000                 0.600000                 0.000000                 20                       8                        7                        
0.198000                 0.070200                 0.018000                 -0.198508                -0.011079                0.034907                 0.600000                 0.000000                 20                       8                        7                        
0.331000                 0.051900                 0.026000                 -0.332007                -0.002847                0.069813                 0.600000                 0.000000                 20                       8                        7                        
0.467000                 0.029600                 0.042000                 -0.468832                0.007045                 0.104720                 0.600000                 0.000000                 20                       8                        7                        
0.675000                 -0.015300                0.090000                 -0.680769                0.016702                 0.157080                 0.600000                 0.000000                 20                       8                        7                        
0.747000                 -0.034800                0.111000                 -0.754926                0.020402                 0.174533                 0.600000                 0.000000                 20                       8                        7                        
0.822000                 -0.057200                0.136000                 -0.832848                0.023344                 0.191987                 0.600000                 0.000000                 20                       8                        7                        
0.897000                 -0.080800                0.163000                 -0.911288                0.027059                 0.209440                 0.600000                 0.000000                 20                       8                        7                        
1.009000                 -0.128700                0.219000                 -1.032009                0.031605                 0.244347                 0.600000                 0.000000                 20                       8                        7                        
1.107000                 -0.188900                0.276000                 -1.140193                0.039823                 0.279253                 0.600000                 0.000000                 20                       8                        7                        
1.182000                 -0.254400                0.338000                 -1.228597                0.043802                 0.314160                 0.600000                 0.000000                 20                       8                        7                        
1.232000                 -0.325700                0.338000                 -1.273304                0.103754                 0.349067                 0.600000                 0.000000                 20                       8                        7                        
1.346000                 -0.410600                0.338000                 -1.374606                0.190834                 0.383973                 0.600000                 0.000000                 20                       8                        7                        
1.419000                 -0.480300                0.338000                 -1.433798                0.268382                 0.418880                 0.600000                 0.000000                 20                       8                        7                        
1.456000                 -0.510100                0.338000                 -1.456813                0.334478                 0.453787                 0.600000                 0.000000                 20                       8                        7                        
1.486000                 -0.498900                0.338000                 -1.470741                0.399200                 0.488693                 0.600000                 0.000000                 20                       8                        7                        
-0.760000                0.225100                 0.177000                 0.780193                 -0.015119                -0.209440                0.700000                 0.000000                 20                       8                        7                        
-0.477000                0.169400                 0.086000                 0.484327                 -0.018777                -0.139627                0.700000                 0.000000                 20                       8                        7                        
-0.199000                0.122700                 0.033000                 0.200817                 -0.019038                -0.069813                0.700000                 0.000000                 20                       8                        7                        
-0.064000                0.102600                 0.022000                 0.064729                 -0.019753                -0.034907                0.700000                 0.000000                 20                       8                        7                        
0.068000                 0.086400                 0.016000                 -0.068000                -0.016000                0.000000                 0.700000                 0.000000                 20                       8                        7                        
0.201000                 0.071500                 0.020000                 -0.201576                -0.012973                0.034907                 0.700000                 0.000000                 20                       8                        7                        
0.337000                 0.053100                 0.029000                 -0.338202                -0.005421                0.069813                 0.700000                 0.000000                 20                       8                        7                        
0.474000                 0.030600                 0.046000                 -0.476212                0.003799                 0.104720                 0.700000                 0.000000                 20                       8                        7                        
0.683000                 -0.014600                0.097000                 -0.689765                0.011039                 0.157080                 0.700000                 0.000000                 20                       8                        7                        
0.755000                 -0.034400                0.121000                 -0.764541                0.011943                 0.174533                 0.700000                 0.000000                 20                       8                        7                        
0.830000                 -0.057100                0.146000                 -0.842609                0.015054                 0.191987                 0.700000                 0.000000                 20                       8                        7                        
0.905000                 -0.081400                0.165000                 -0.919529                0.026766                 0.209440                 0.700000                 0.000000                 20                       8                        7                        
1.017000                 -0.130900                0.213000                 -1.038320                0.039362                 0.244347                 0.700000                 0.000000                 20                       8                        7                        
1.114000                 -0.192900                0.263000                 -1.143338                0.054249                 0.279253                 0.700000                 0.000000                 20                       8                        7                        
1.189000                 -0.260200                0.326000                 -1.231546                0.057378                 0.314160                 0.700000                 0.000000                 20                       8                        7                        
1.236000                 -0.332600                0.326000                 -1.272959                0.116398                 0.349067                 0.700000                 0.000000                 20                       8                        7                        
1.354000                 -0.417800                0.326000                 -1.377529                0.204957                 0.383973                 0.700000                 0.000000                 20                       8                        7                        
1.439000                 -0.488200                0.326000                 -1.447188                0.287480                 0.418880                 0.700000                 0.000000                 20                       8                        7                        
1.492000                 -0.521000                0.326000                 -1.483909                0.361044                 0.453787                 0.700000                 0.000000                 20                       8                        7                        
1.537000                 -0.515300                0.326000                 -1.510138                0.433739                 0.488693                 0.700000                 0.000000                 20                       8                        7                        
-0.774000                0.227300                 0.185000                 0.795550                 -0.020033                -0.209440                0.800000                 0.000000                 20                       8                        7                        
-0.488000                0.170400                 0.098000                 0.496890                 -0.029130                -0.139627                0.800000                 0.000000                 20                       8                        7                        
-0.204000                0.123300                 0.037000                 0.206084                 -0.022680                -0.069813                0.800000                 0.000000                 20                       8                        7                        
-0.066000                0.103700                 0.023000                 0.066762                 -0.020683                -0.034907                0.800000                 0.000000                 20                       8                        7                        
0.070000                 0.088000                 0.016000                 -0.070000                -0.016000                0.000000                 0.800000                 0.000000                 20                       8                        7                        
0.206000                 0.073400                 0.020000                 -0.206573                -0.012799                0.034907                 0.800000                 0.000000                 20                       8                        7                        
0.344000                 0.054900                 0.032000                 -0.345394                -0.007926                0.069813                 0.800000                 0.000000                 20                       8                        7                        
0.483000                 0.032200                 0.054000                 -0.485999                -0.003217                0.104720                 0.800000                 0.000000                 20                       8                        7                        
0.693000                 -0.013400                0.108000                 -0.701363                0.001739                 0.157080                 0.800000                 0.000000                 20                       8                        7                        
0.766000                 -0.033500                0.130000                 -0.776937                0.004990                 0.174533                 0.800000                 0.000000                 20                       8                        7                        
0.841000                 -0.056600                0.153000                 -0.854742                0.010282                 0.191987                 0.800000                 0.000000                 20                       8                        7                        
0.916000                 -0.081700                0.173000                 -0.931952                0.021228                 0.209440                 0.800000                 0.000000                 20                       8                        7                        
1.027000                 -0.133600                0.219000                 -1.049475                0.035960                 0.244347                 0.800000                 0.000000                 20                       8                        7                        
1.124000                 -0.198100                0.275000                 -1.156258                0.045470                 0.279253                 0.800000                 0.000000                 20                       8                        7                        
1.198000                 -0.268000                0.333000                 -1.242268                0.053501                 0.314160                 0.800000                 0.000000                 20                       8                        7                        
1.242000                 -0.341900                0.333000                 -1.280991                0.111872                 0.349067                 0.800000                 0.000000                 20                       8                        7                        
1.364000                 -0.427600                0.333000                 -1.389423                0.202212                 0.383973                 0.800000                 0.000000                 20                       8                        7                        
1.464000                 -0.498600                0.333000                 -1.472874                0.291253                 0.418880                 0.800000                 0.000000                 20                       8                        7                        
1.537000                 -0.534900                0.333000                 -1.527424                0.374480                 0.453787                 0.800000                 0.000000                 20                       8                        7                        
1.598000                 -0.533500                0.333000                 -1.567284                0.456196                 0.488693                 0.800000                 0.000000                 20                       8                        7                        
-0.762000                0.217600                 0.188000                 0.784436                 -0.025463                -0.209440                0.900000                 0.000000                 20                       8                        7                        
-0.478000                0.162900                 0.110000                 0.488657                 -0.042405                -0.139627                0.900000                 0.000000                 20                       8                        7                        
-0.199000                0.116700                 0.042000                 0.201445                 -0.028016                -0.069813                0.900000                 0.000000                 20                       8                        7                        
-0.062000                0.097000                 0.025000                 0.062835                 -0.022821                -0.034907                0.900000                 0.000000                 20                       8                        7                        
0.071000                 0.081200                 0.017000                 -0.071000                -0.017000                0.000000                 0.900000                 0.000000                 20                       8                        7                        
0.206000                 0.066500                 0.022000                 -0.206642                -0.014797                0.034907                 0.900000                 0.000000                 20                       8                        7                        
0.342000                 0.048400                 0.037000                 -0.343748                -0.013053                0.069813                 0.900000                 0.000000                 20                       8                        7                        
0.480000                 0.026300                 0.062000                 -0.483851                -0.011487                0.104720                 0.900000                 0.000000                 20                       8                        7                        
0.688000                 -0.017500                0.121000                 -0.698458                -0.011883                0.157080                 0.900000                 0.000000                 20                       8                        7                        
0.760000                 -0.036600                0.143000                 -0.773286                -0.008855                0.174533                 0.900000                 0.000000                 20                       8                        7                        
0.834000                 -0.058600                0.159000                 -0.849016                0.003056                 0.191987                 0.900000                 0.000000                 20                       8                        7                        
0.909000                 -0.082200                0.176000                 -0.925729                0.016838                 0.209440                 0.900000                 0.000000                 20                       8                        7                        
1.019000                 -0.130100                0.213000                 -1.040261                0.039846                 0.244347                 0.900000                 0.000000                 20                       8                        7                        
1.114000                 -0.189900                0.281000                 -1.148300                0.036946                 0.279253                 0.900000                 0.000000                 20                       8                        7                        
1.186000                 -0.255200                0.351000                 -1.236418                0.032674                 0.314160                 0.900000                 0.000000                 20                       8                        7                        
1.231000                 -0.325800                0.351000                 -1.276811                0.091196                 0.349067                 0.900000                 0.000000                 20                       8                        7                        
1.356000                 -0.409500                0.351000                 -1.388748                0.182526                 0.383973                 0.900000                 0.000000                 20                       8                        7                        
1.479000                 -0.483900                0.351000                 -1.493898                0.280911                 0.418880                 0.900000                 0.000000                 20                       8                        7                        
1.582000                 -0.530900                0.351000                 -1.575760                0.378028                 0.453787                 0.900000                 0.000000                 20                       8                        7                        
1.668000                 -0.543100                0.351000                 -1.637541                0.473166                 0.488693                 0.900000                 0.000000                 20                       8                        7                        
-0.614964                0.067443                 0.175215                 0.637955                 -0.043527                -0.209440                0.200000                 0.087267                 20                       8                        7                        
-0.340964                0.014443                 0.079215                 0.348670                 -0.030991                -0.139627                0.200000                 0.087267                 20                       8                        7                        
-0.076964                -0.032157                0.031215                 0.078954                 -0.025770                -0.069813                0.200000                 0.087267                 20                       8                        7                        
